t	g1r1	g1r2	g1ave	g2r1	g4r1
0.33800	-2.7313	-0.31050	-2.7313	0.22213	-0.012179
0.34000	-2.8518	-0.27034	-2.8518	0.18200	-0.075035
0.34200	-2.8920	-0.27034	-2.8920	0.18200	-0.012179
0.34400	-2.8518	-0.31050	-2.8518	0.18200	0.11353
0.34600	-2.8117	-0.31050	-2.8117	0.30240	0.050677
0.34800	-3.0446	-0.27034	-3.0446	0.18200	-0.012179
0.35000	-2.9321	-0.31050	-2.9321	0.22213	-0.012179
0.35200	-2.9723	-0.27034	-2.9723	0.14187	0.11353
0.35400	-3.0446	-0.39083	-3.0446	0.22213	0.11353
0.35600	-3.1249	-0.39083	-3.1249	0.14187	-0.012179
0.35800	-3.0848	-0.35066	-3.0848	0.14187	-0.075035
0.36000	-3.0446	-0.31050	-3.0446	0.18200	0.11353
0.36200	-3.0848	-0.27034	-3.0848	0.26227	-0.012179
0.36400	-3.2454	-0.27034	-3.2454	0.22213	0.050677
0.36600	-3.2053	-0.27034	-3.2053	0.14187	-0.13789
0.36800	-3.2856	-0.14985	-3.2856	0.22213	-0.012179
0.37000	-3.2454	-0.14985	-3.2454	0.26227	0.050677
0.37200	-3.3980	-0.31050	-3.3980	0.30240	0.050677
0.37400	-3.4382	-0.35066	-3.4382	0.22213	-0.075035
0.37600	-3.4382	-0.27034	-3.4382	0.22213	0.11353
0.37800	-3.3980	-0.23018	-3.3980	0.34253	0.050677
0.38000	-3.4784	-0.27034	-3.4784	0.34253	0.11353
0.38200	-3.4784	-0.31050	-3.4784	0.26227	-0.075035
0.38400	-3.5185	-0.31050	-3.5185	0.30240	0.16382
0.38600	-3.4382	-0.27034	-3.4382	0.34253	-0.012179
0.38800	-3.6390	-0.27034	-3.6390	0.34253	-0.012179
0.39000	-3.5587	-0.35066	-3.5587	0.30240	-0.012179
0.39200	-3.6390	-0.46312	-3.6390	0.26227	-0.012179
0.39400	-3.6711	-0.39083	-3.6711	0.34253	0.11353
0.39600	-3.7515	-0.35066	-3.7515	0.30240	-0.012179
0.39800	-3.7515	-0.39083	-3.7515	0.34253	-0.075035
0.40000	-3.7113	-0.43099	-3.7113	0.30240	0.050677
0.40200	-3.7916	-0.39083	-3.7916	0.38267	-0.012179
0.40400	-3.8720	-0.35066	-3.8720	0.38267	0.11353
0.40600	-3.7113	-0.39083	-3.7113	0.41477	0.050677
0.40800	-3.8318	-0.46312	-3.8318	0.34253	-0.075035
0.41000	-3.7515	-0.50328	-3.7515	0.38267	0.11353
0.41200	-3.8720	-0.43099	-3.8720	0.41477	-0.012179
0.41400	-3.9121	-0.46312	-3.9121	0.38267	-0.012179
0.41600	-3.9523	-0.43099	-3.9523	0.34253	0.11353
0.41800	-3.9523	-0.46312	-3.9523	0.41477	0.050677
0.42000	-3.9924	-0.43099	-3.9924	0.38267	-0.075035
0.42200	-3.9523	-0.39083	-3.9523	0.38267	-0.012179
0.42400	-3.9924	-0.39083	-3.9924	0.41477	0.11353
0.42600	-3.9523	-0.46312	-3.9523	0.49504	-0.012179
0.42800	-4.1049	-0.46312	-4.1049	0.45490	0.050677
0.43000	-3.9523	-0.43099	-3.9523	0.45490	0.050677
0.43200	-4.0246	-0.43099	-4.0246	0.41477	0.16382
0.43400	-4.0647	-0.39083	-4.0647	0.49504	0.16382
0.43600	-4.1852	-0.43099	-4.1852	0.45490	-0.012179
0.43800	-4.0647	-0.46312	-4.0647	0.45490	0.050677
0.44000	-3.9924	-0.39083	-3.9924	0.53517	0.16382
0.44200	-4.1049	-0.43099	-4.1049	0.45490	-0.012179
0.44400	-4.1451	-0.46312	-4.1451	0.53517	0.16382
0.44600	-4.0246	-0.50328	-4.0246	0.45490	-0.075035
0.44800	-4.1049	-0.43099	-4.1049	0.49504	-0.075035
0.45000	-4.1049	-0.43099	-4.1049	0.53517	0.050677
0.45200	-4.2254	-0.46312	-4.2254	0.53517	-0.13789
0.45400	-4.1852	-0.50328	-4.1852	0.45490	-0.075035
0.45600	-4.1852	-0.46312	-4.1852	0.53517	0.11353
0.45800	-4.2254	-0.43099	-4.2254	0.61544	0.050677
0.46000	-4.2254	-0.46312	-4.2254	0.65557	0.11353
0.46200	-4.1852	-0.50328	-4.1852	0.53517	-0.012179
0.46400	-4.2254	-0.58361	-4.2254	0.57530	0.16382
0.46600	-4.1852	-0.46312	-4.1852	0.65557	0.16382
0.46800	-4.2656	-0.50328	-4.2656	0.61544	-0.012179
0.47000	-4.1852	-0.62377	-4.1852	0.53517	-0.012179
0.47200	-4.1852	-0.54345	-4.1852	0.61544	-0.012179
0.47400	-4.1852	-0.54345	-4.1852	0.65557	0.11353
0.47600	-4.2656	-0.50328	-4.2656	0.61544	-0.012179
0.47800	-4.2656	-0.50328	-4.2656	0.57530	0.050677
0.48000	-4.1451	-0.54345	-4.1451	0.69570	-0.012179
0.48200	-4.2656	-0.46312	-4.2656	0.65557	0.050677
0.48400	-4.2254	-0.43099	-4.2254	0.76794	0.11353
0.48600	-4.2254	-0.50328	-4.2254	0.61544	0.050677
0.48800	-4.2656	-0.54345	-4.2656	0.65557	-0.012179
0.49000	-4.2254	-0.43099	-4.2254	0.65557	0.11353
0.49200	-4.2254	-0.46312	-4.2254	0.72781	-0.075035
0.49400	-4.1852	-0.43099	-4.1852	0.61544	0.11353
0.49600	-4.1852	-0.46312	-4.1852	0.65557	0.050677
0.49800	-4.2656	-0.50328	-4.2656	0.69570	-0.012179
0.50000	-4.2254	-0.43099	-4.2254	0.80807	-0.012179
0.50200	-4.1852	-0.46312	-4.1852	0.61544	-0.075035
0.50400	-4.2254	-0.50328	-4.2254	0.76794	0.050677
0.50600	-4.2656	-0.54345	-4.2656	0.72781	-0.012179
0.50800	-4.3057	-0.50328	-4.3057	0.72781	-0.075035
0.51000	-4.1852	-0.54345	-4.1852	0.72781	-0.012179
0.51200	-4.1852	-0.50328	-4.1852	0.84821	0.11353
0.51400	-4.2656	-0.54345	-4.2656	0.76794	-0.012179
0.51600	-4.3057	-0.54345	-4.3057	0.80807	0.050677
0.51800	-4.2254	-0.54345	-4.2254	0.76794	0.16382
0.52000	-4.1049	-0.62377	-4.1049	0.88834	0.050677
0.52200	-4.2656	-0.58361	-4.2656	0.76794	0.050677
0.52400	-4.1852	-0.62377	-4.1852	0.80807	0.11353
0.52600	-4.1451	-0.58361	-4.1451	0.76794	0.050677
0.52800	-4.1451	-0.58361	-4.1451	0.84821	0.11353
0.53000	-4.2254	-0.50328	-4.2254	0.76794	-0.075035
0.53200	-4.1852	-0.50328	-4.1852	0.80807	-0.075035
0.53400	-4.0647	-0.54345	-4.0647	0.80807	-0.012179
0.53600	-4.1049	-0.46312	-4.1049	0.84821	0.050677
0.53800	-4.1852	-0.50328	-4.1852	0.88834	0.050677
0.54000	-4.0647	-0.50328	-4.0647	0.92847	-0.012179
0.54200	-4.0647	-0.62377	-4.0647	0.80807	-0.012179
0.54400	-3.9924	-0.58361	-3.9924	0.92847	0.16382
0.54600	-4.1049	-0.54345	-4.1049	0.92847	0.11353
0.54800	-4.1049	-0.50328	-4.1049	0.80807	-0.012179
0.55000	-4.0246	-0.54345	-4.0246	0.84821	0.11353
0.55200	-3.9523	-0.58361	-3.9523	0.92847	-0.012179
0.55400	-3.9523	-0.54345	-3.9523	0.92847	-0.012179
0.55600	-3.9121	-0.54345	-3.9121	0.84821	0.050677
0.55800	-3.9121	-0.58361	-3.9121	0.88834	0.16382
0.56000	-3.7515	-0.62377	-3.7515	0.96861	-0.012179
0.56200	-3.9121	-0.58361	-3.9121	0.96861	0.11353
0.56400	-3.7916	-0.54345	-3.7916	0.92847	0.11353
0.56600	-3.7916	-0.50328	-3.7916	0.96861	0.11353
0.56800	-3.7916	-0.58361	-3.7916	1.0087	0.16382
0.57000	-3.7916	-0.50328	-3.7916	0.96861	0.11353
0.57200	-3.7113	-0.46312	-3.7113	0.96861	0.11353
0.57400	-3.5988	-0.54345	-3.5988	1.0087	0.16382
0.57600	-3.5988	-0.54345	-3.5988	0.96861	-0.012179
0.57800	-3.5988	-0.50328	-3.5988	1.0489	0.16382
0.58000	-3.4382	-0.46312	-3.4382	0.96861	0.050677
0.58200	-3.5185	-0.50328	-3.5185	0.96861	-0.012179
0.58400	-3.3980	-0.46312	-3.3980	1.0087	0.11353
0.58600	-3.4784	-0.46312	-3.4784	1.0810	-0.012179
0.58800	-3.3980	-0.43099	-3.3980	0.96861	0.11353
0.59000	-3.3579	-0.43099	-3.3579	1.0087	0.16382
0.59200	-3.3257	-0.46312	-3.3257	1.0489	-0.012179
0.59400	-3.2856	-0.54345	-3.2856	1.1211	0.050677
0.59600	-3.2053	-0.50328	-3.2053	1.0087	0.16382
0.59800	-3.2053	-0.54345	-3.2053	1.0810	0.28953
0.60000	-3.1249	-0.54345	-3.1249	1.1211	0.16382
0.60200	-3.1651	-0.50328	-3.1651	1.0489	0.050677
0.60400	-3.0044	-0.50328	-3.0044	1.0087	0.22667
0.60600	-2.8920	-0.54345	-2.8920	1.1612	0.11353
0.60800	-2.9723	-0.46312	-2.9723	1.0810	0.22667
0.61000	-2.9321	-0.54345	-2.9321	1.0810	0.11353
0.61200	-2.8518	-0.50328	-2.8518	1.0810	0.16382
0.61400	-2.6590	-0.54345	-2.6590	1.1211	0.16382
0.61600	-2.7715	-0.54345	-2.7715	1.0810	0.16382
0.61800	-2.7313	-0.50328	-2.7313	1.1612	0.11353
0.62000	-2.6912	-0.46312	-2.6912	1.0810	0.22667
0.62200	-2.5787	-0.54345	-2.5787	1.1211	0.16382
0.62400	-2.5787	-0.50328	-2.5787	1.1612	0.22667
0.62600	-2.5787	-0.43099	-2.5787	1.1612	0.050677
0.62800	-2.4582	-0.46312	-2.4582	1.1211	0.16382
0.63000	-2.4181	-0.50328	-2.4181	1.1211	0.28953
0.63200	-2.3779	-0.54345	-2.3779	1.2415	0.22667
0.63400	-2.2654	-0.50328	-2.2654	1.2014	0.050677
0.63600	-2.3056	-0.50328	-2.3056	1.0810	0.16382
