t	g1r1	g1r2	g1ave	g2r1	g2r2	g2ave	g4r1	g4r2	g4ave
0.26400	-1.9185	-1.5444	-1.7315	-0.092828	0.079645	-0.0065915	-0.19126	0.11235	-0.039459
0.26600	-2.1526	-1.7380	-1.9453	-0.092828	-0.00083200	-0.046830	-0.24160	-0.013501	-0.12755
0.26800	-1.8782	-1.7784	-1.8283	0.10032	-0.00083200	0.049743	-0.0024940	0.11235	0.054926
0.27000	-2.1526	-1.5040	-1.8283	-0.092828	0.19231	0.049742	-0.24160	0.17527	-0.033166
0.27200	-2.1526	-1.9398	-2.0462	0.019840	-0.00083200	0.0095040	-0.065417	-0.076424	-0.070920
0.27400	-1.8782	-1.9398	-1.9090	0.14055	0.039406	0.089980	0.12335	0.049423	0.086388
0.27600	-2.2736	-1.7380	-2.0058	0.060078	-0.00083200	0.029623	-0.30453	0.11235	-0.096091
0.27800	-2.2333	-2.1335	-2.1834	0.14055	-0.041070	0.049742	-0.065417	-0.25261	-0.15901
0.28000	-2.1526	-1.8591	-2.0058	0.18079	0.11988	0.15034	0.060430	0.17527	0.11785
0.28200	-2.5076	-2.0528	-2.2802	0.060078	0.079645	0.069862	-0.19126	0.049423	-0.070920
0.28400	-2.3946	-2.3675	-2.3811	0.18079	-0.12155	0.029624	-0.0024940	-0.076424	-0.039459
0.28600	-2.6287	-2.1335	-2.3811	0.060078	0.16012	0.11010	-0.065417	0.11235	0.023465
0.28800	-3.1371	-2.4885	-2.8128	-0.13307	-0.12155	-0.12731	-0.24160	-0.013501	-0.12755
0.29000	-2.8223	-2.6822	-2.7523	0.060078	-0.15374	-0.046830	0.12335	-0.20227	-0.039459
0.29200	-3.0967	-2.4482	-2.7724	-0.060637	0.11988	0.029623	-0.24160	0.11235	-0.064628
0.29400	-3.2178	-2.8032	-3.0105	-0.13307	-0.041070	-0.087068	-0.30453	-0.076424	-0.19048
0.29600	-2.9030	-2.6822	-2.7926	0.060078	-0.00083200	0.029623	0.12335	0.049423	0.086388
0.29800	-3.4114	-2.4078	-2.9096	-0.020398	0.16012	0.069862	-0.19126	0.23819	0.023465
0.30000	-3.2178	-2.8839	-3.0508	0.019840	0.079645	0.049743	-0.0024940	-0.076424	-0.039459
0.30200	-3.0644	-2.6822	-2.8733	0.14055	0.11988	0.13022	0.12335	0.17527	0.14931
0.30400	-3.4518	-2.8032	-3.1275	-0.020398	0.079645	0.029624	-0.19126	0.17527	-0.0079970
0.30600	-3.2178	-3.3197	-3.2687	0.060078	-0.041070	0.0095040	-0.0024940	-0.25261	-0.12755
0.30800	-3.4114	-3.2793	-3.3454	0.060078	0.079645	0.069862	0.12335	0.11235	0.11785
0.31000	-3.7665	-3.5941	-3.6803	-0.060637	-0.12155	-0.091092	-0.30453	-0.13935	-0.22194
0.31200	-3.5325	-3.7070	-3.6198	0.14055	-0.19398	-0.026711	0.060430	-0.20227	-0.070920
0.31400	-3.8068	-3.4327	-3.6198	0.14055	0.16012	0.15034	-0.12834	0.11235	-0.0079975
0.31600	-3.9682	-3.6344	-3.8013	-0.060637	-0.041070	-0.050853	-0.24160	-0.076424	-0.15901
0.31800	-3.8472	-3.6748	-3.7610	0.14055	-0.041070	0.049742	-0.065417	-0.013501	-0.039459
0.32000	-4.1619	-3.4730	-3.8175	0.019840	0.16012	0.089981	-0.19126	0.35146	0.080096
0.32200	-4.1216	-3.9491	-4.0353	0.019840	-0.00083200	0.0095040	-0.19126	-0.13935	-0.16531
0.32400	-3.9682	-3.8684	-3.9183	0.22103	-0.00083200	0.11010	0.12335	-0.013501	0.054926
0.32600	-4.2829	-3.7474	-4.0152	-0.020398	0.16012	0.069862	-0.12834	0.17527	0.023465
0.32800	-4.2426	-4.2638	-4.2532	0.019840	0.039406	0.029623	-0.0024940	-0.13935	-0.070921
0.33000	-4.0893	-3.8684	-3.9789	0.14055	0.079645	0.11010	0.24920	0.17527	0.21224
0.33200	-4.4766	-3.9895	-4.2330	-0.060637	0.079645	0.0095040	-0.19126	0.17527	-0.0079970
0.33400	-4.4040	-4.3768	-4.3904	0.14055	-0.081309	0.029623	0.060430	-0.20227	-0.070920
0.33600	-4.5977	-4.2235	-4.4106	0.10032	0.079645	0.089981	-0.0024940	0.049423	0.023465
0.33800	-4.9931	-4.4575	-4.7253	-0.17330	-0.15374	-0.16352	-0.30453	-0.13935	-0.22194
0.34000	-4.8720	-4.7722	-4.8221	0.14055	-0.12155	0.0095040	-0.0024940	-0.25261	-0.12755
0.34200	-4.9931	-4.6189	-4.8060	-0.060637	0.16012	0.049743	-0.30453	0.049423	-0.12755
0.34400	-5.2674	-4.8529	-5.0602	-0.060637	-0.12155	-0.091092	-0.30453	-0.076424	-0.19048
0.34600	-4.8317	-4.8126	-4.8221	0.22103	0.039406	0.13022	0.12335	-0.076424	0.023464
0.34800	-5.2271	-4.5382	-4.8827	-0.060637	0.23255	0.085957	-0.19126	0.41438	0.11156
0.35000	-5.1868	-4.9336	-5.0602	0.060078	0.079645	0.069862	0.12335	-0.076424	0.023464
0.35200	-4.9527	-4.6593	-4.8060	0.22103	0.079645	0.15034	0.12335	0.23819	0.18077
0.35400	-5.3885	-4.9336	-5.1611	-0.020398	0.16012	0.069862	-0.19126	0.11235	-0.039459
0.35600	-5.2674	-5.3694	-5.3184	0.22103	-0.081309	0.069862	0.12335	-0.20227	-0.039459
