t	g1r1	g1r2	g1ave	g2r1	g2r2	g2ave	g3r1	g3r2	g3ave	g4r1	g4r2	g4ave
0.19600	-0.62119	0.027841	-0.29667	-0.031089	0.10200	0.035458	0.0092440	0.083398	0.046321	-0.038552	0.22711	0.094281
0.19800	-0.89214	-0.35487	-0.62350	-0.15140	-0.090387	-0.12089	-0.35154	-0.21491	-0.28322	-0.28948	-0.14942	-0.21945
0.20000	-0.62119	-0.12365	-0.37242	-0.071192	0.029858	-0.020667	0.0092440	0.021250	0.015247	0.13710	0.10160	0.11935
0.20200	-0.58134	-0.20338	-0.39236	-0.031089	-0.050305	-0.040697	-0.052960	-0.16519	-0.10908	-0.10128	-0.023910	-0.062597
0.20400	-0.69291	-0.59407	-0.64349	-0.071192	-0.17055	-0.12087	-0.11516	-0.27706	-0.19611	-0.038552	-0.45065	-0.24460
0.20600	-0.38212	-0.20338	-0.29275	0.081198	0.061924	0.071561	0.13365	0.083398	0.10853	0.26256	0.10160	0.18208
0.20800	-0.77260	-0.28311	-0.52786	-0.071192	0.029858	-0.020667	-0.052960	-0.040897	-0.046929	-0.16402	-0.14942	-0.15672
0.21000	-0.66103	-0.43460	-0.54782	0.0090130	-0.050305	-0.020646	0.0092440	-0.10305	-0.046900	-0.038552	-0.14942	-0.093988
0.21200	-0.46181	-0.043917	-0.25286	0.081198	0.22225	0.15172	0.0092440	0.20769	0.10847	0.074365	0.16436	0.11936
0.21400	-0.85229	-0.39474	-0.62351	-0.11129	-0.010224	-0.060759	-0.11516	0.021250	-0.046957	-0.10128	-0.023910	-0.062597
0.21600	-0.58134	-0.32298	-0.45216	0.081198	0.14209	0.11164	0.13365	0.083398	0.10853	0.011633	-0.023910	-0.0061385
0.21800	-0.54150	-0.20338	-0.37244	0.12130	0.22225	0.17177	0.0092440	0.14555	0.077395	0.19983	0.22711	0.21347
0.22000	-0.69291	-0.55420	-0.62355	0.081198	-0.13047	-0.024635	-0.11516	-0.16519	-0.14018	-0.16402	-0.19963	-0.18182
0.22200	-0.69291	-0.39474	-0.54382	0.24161	0.14209	0.19185	0.19586	0.083398	0.13963	0.074365	0.10160	0.087984
0.22400	-0.85229	-0.28311	-0.56770	0.041095	0.061924	0.051509	-0.052960	-0.040897	-0.046929	-0.038552	0.038846	0.00014700
0.22600	-1.2029	-0.74555	-0.97424	-0.19150	-0.13047	-0.16098	-0.17737	-0.21491	-0.19614	-0.22675	-0.19963	-0.21319
0.22800	-1.0436	-0.51433	-0.77894	0.0090130	0.10200	0.055509	-0.11516	0.083398	-0.015883	0.011633	0.10160	0.056618
0.23000	-1.1232	-0.59407	-0.85865	-0.15140	-0.010224	-0.080811	-0.11516	-0.10305	-0.10910	-0.038552	-0.14942	-0.093988
0.23200	-1.1631	-0.90502	-1.0341	-0.11129	-0.21063	-0.16096	-0.052960	-0.16519	-0.10908	-0.038552	-0.32514	-0.18185
0.23400	-0.89214	-0.59407	-0.74310	0.081198	0.14209	0.11164	0.071448	0.083398	0.077423	0.13710	0.10160	0.11935
0.23600	-0.93198	-0.74555	-0.83877	0.041095	-0.050305	-0.0046050	0.0092440	-0.16519	-0.077975	0.011633	-0.19963	-0.093998
0.23800	-0.89214	-0.74555	-0.81885	0.12130	-0.010224	0.055538	0.25806	0.20769	0.23288	0.13710	-0.19963	-0.031265
